date,H2demand1-0.time-based_0-tot_dem,H2demand2-0.time-based_0-tot_dem,compressor1-0.time-based_0-flow_from_c,H2valve1-0.time-based_0-out2,H2valve1-0.time-based_0-out1,H2_controller-0.time-based_0-dump,H2_controller-0.time-based_0-desired_out,H2Buffer1-0.time-based_0-free_capacity,H2Buffer1-0.time-based_0-h2_out,H2Buffer1-0.time-based_0-soc
2012-01-17 19:45:00,0.0,225.0,200.0,0.0,194.5,0,225.0,154275.93805926194,200.0,41.147694469827975
2012-01-17 20:00:00,0.0,225.0,200.0,200.0,0.0,0,225.0,154375.93805926194,200.0,41.10954703979416
2012-01-17 20:15:00,0.0,0.0,0.0,200.0,0.0,0,0.0,154275.93805926194,0.0,41.147694469827975
2012-01-17 20:30:00,154.33333333333334,0.0,154.33333333333334,0.0,0.0,0,154.33333333333334,154330.2713925953,154.33333333333334,41.1269676995096
2012-01-17 20:45:00,154.33333333333334,0.0,154.33333333333334,0.0,154.33333333333334,0,154.33333333333334,154384.60472592866,154.33333333333334,41.10624092919122
2012-01-17 21:00:00,154.33333333333334,210.5,200.0,0.0,154.33333333333334,0,364.83333333333337,154484.60472592863,200.0,41.068093499157406
2012-01-17 21:15:00,0.0,210.5,200.0,115.39515760621286,84.60484239378712,0,210.5,154584.60472592863,200.0,41.02994606912359
2012-01-17 21:30:00,0.0,0.0,0.0,200.0,0.0,0,0.0,154484.60472592863,0.0,41.068093499157406
2012-01-17 21:45:00,0.0,0.0,0.0,0.0,0.0,0,0.0,154384.60472592866,0.0,41.10624092919122
2012-01-17 22:00:00,287.0,199.0,200.0,0.0,0.0,0,486.0,154484.60472592863,200.0,41.068093499157406
2012-01-17 22:15:00,0.0,199.0,199.0,81.89300411522635,118.10699588477368,0,199.0,154583.60472592863,199.0,41.03032754342393
2012-01-17 22:30:00,0.0,199.0,199.0,199.0,0.0,0,199.0,154682.6047259286,199.0,40.99256158769045
2012-01-17 22:45:00,0.0,265.0,200.0,199.0,0.0,0,265.0,154782.60472592863,200.0,40.95441415765664
2012-01-17 23:00:00,172.5,0.0,172.5,200.0,0.0,0,172.5,154855.10472592863,172.5,40.92675727088212
2012-01-17 23:15:00,172.5,0.0,172.5,0.0,172.5,0,172.5,154927.60472592863,172.5,40.899100384107605
2012-01-17 23:30:00,172.5,193.25,200.0,0.0,172.5,0,365.75,155027.6047259286,200.0,40.86095295407379
2012-01-17 23:45:00,172.5,193.25,200.0,105.67327409432671,94.32672590567329,0,365.75,155127.6047259286,200.0,40.82280552403997
2012-01-18 00:00:00,0.0,193.25,193.25,105.67327409432671,94.32672590567329,0,193.25,155220.85472592863,193.25,40.78723304553343
2012-01-18 00:15:00,0.0,193.25,193.25,193.25,0.0,0,193.25,155314.10472592863,193.25,40.751660567026896
2012-01-18 00:30:00,0.0,296.0,200.0,193.25,0.0,0,296.0,155414.10472592863,200.0,40.71351313699308
2012-01-18 00:45:00,182.0,0.0,182.0,200.0,0.0,0,182.0,155496.1047259286,182.0,40.68223224436535
2012-01-18 01:00:00,182.0,169.0,200.0,0.0,182.0,0,351.0,155596.1047259286,200.0,40.644084814331535
2012-01-18 01:15:00,0.0,169.0,169.0,96.29629629629628,103.7037037037037,0,169.0,155665.1047259286,169.0,40.6177630876082
2012-01-18 01:30:00,206.0,169.0,200.0,169.0,0.0,0,375.0,155765.1047259286,200.0,40.57961565757439
2012-01-18 01:45:00,175.0,0.0,175.0,90.13333333333333,109.86666666666667,0,175.0,155840.10472592863,175.0,40.55100508504902
2012-01-18 02:00:00,175.0,0.0,175.0,0.0,175.0,0,175.0,155915.10472592863,175.0,40.52239451252365
2012-01-18 02:15:00,0.0,165.66666666666666,165.66666666666666,0.0,175.0,0,165.66666666666666,155980.77139259528,165.66666666666666,40.49734436680145
2012-01-18 02:30:00,0.0,165.66666666666666,165.66666666666666,165.66666666666663,0.0,0,165.66666666666666,156046.43805926197,165.66666666666666,40.472294221079245
2012-01-18 02:45:00,0.0,165.66666666666666,165.66666666666666,165.66666666666663,0.0,0,165.66666666666666,156112.10472592863,165.66666666666666,40.44724407535704
2012-01-18 03:00:00,193.3333333333333,0.0,193.3333333333333,165.66666666666663,0.0,0,193.3333333333333,156205.43805926194,193.3333333333333,40.41163980732548
2012-01-18 03:15:00,193.3333333333333,0.0,193.3333333333333,0.0,193.33333333333337,0,193.3333333333333,156298.77139259526,193.3333333333333,40.37603553929392
2012-01-18 03:30:00,193.3333333333333,0.0,193.3333333333333,0.0,193.33333333333337,0,193.3333333333333,156392.1047259286,193.3333333333333,40.340431271262354
2012-01-18 03:45:00,281.0,255.0,200.0,0.0,193.33333333333337,0,536.0,156492.1047259286,200.0,40.30228384122854
2012-01-18 04:00:00,0.0,140.0,140.0,95.1492537313433,104.8507462686567,0,140.0,156532.10472592863,140.0,40.28702486921501
