generation,solution,fitness
18,"[35.873399226983274, 31.965044530402558, 39.338580034693784, 56.719727268336136, 50.94533403737381]",[18.01606113303419]
18,"[37.3247626186392, 31.15643181860577, 41.502599999233425, 54.28790884683505, 52.47262040640384]",[18.4622783932396]
18,"[36.64293892744107, 31.875232078039684, 38.99755860972692, 56.81361412248937, 50.062174574706425]",[18.01606113303419]
18,"[36.64611307888691, 31.722213134816304, 39.302840891977894, 56.779142703615996, 50.69379421552545]",[18.01606113303419]
18,"[35.02012117002471, 31.174071787738303, 42.50308544211126, 54.783101531046164, 51.62060264433994]",[16.122614282752473]
18,"[35.27941786774256, 31.503237630083802, 42.869423421748685, 54.45757324962866, 51.991725068034256]",[16.122614282752473]
18,"[34.85085604209498, 30.97107326991109, 42.952456908970596, 54.46570488357368, 51.78872653157382]",[14.945600464436716]
18,"[36.21517149692447, 31.461165260807306, 38.61202941709356, 57.36247894707986, 52.08596519232604]",[18.01606113303419]
19,"[34.14493529933299, 32.509821231991765, 41.15175251205215, 55.958285570276395, 52.413124714825145]",[20.62053981456744]
19,"[35.873399226983274, 31.965044530402558, 39.338580034693784, 56.719727268336136, 50.94533403737381]",[18.01606113303419]
19,"[37.3247626186392, 31.15643181860577, 41.502599999233425, 54.28790884683505, 52.47262040640384]",[18.4622783932396]
19,"[36.64293892744107, 31.875232078039684, 38.99755860972692, 56.81361412248937, 50.062174574706425]",[18.01606113303419]
19,"[36.668175420969916, 31.302426535778462, 42.82663228767022, 56.437511246985125, 50.862071367913316]",[17.26646117090467]
19,"[35.02012117002471, 31.174071787738303, 42.50308544211126, 54.783101531046164, 51.62060264433994]",[16.122614282752473]
19,"[35.27941786774256, 31.503237630083802, 42.869423421748685, 54.45757324962866, 51.991725068034256]",[16.122614282752473]
19,"[34.85085604209498, 30.97107326991109, 42.952456908970596, 54.46570488357368, 51.78872653157382]",[14.945600464436716]
19,"[36.39788293964639, 31.177032541213187, 42.08897637830627, 54.36247894707986, 52.20379902577465]",[17.26646117090467]
20,"[34.14493529933299, 32.509821231991765, 41.15175251205215, 55.958285570276395, 52.413124714825145]",[20.62053981456744]
20,"[35.873399226983274, 31.965044530402558, 39.338580034693784, 56.719727268336136, 50.94533403737381]",[18.01606113303419]
20,"[37.3247626186392, 31.15643181860577, 41.502599999233425, 54.28790884683505, 52.47262040640384]",[18.4622783932396]
20,"[36.64293892744107, 31.875232078039684, 38.99755860972692, 56.81361412248937, 50.062174574706425]",[18.01606113303419]
20,"[36.668175420969916, 31.302426535778462, 42.82663228767022, 56.437511246985125, 50.862071367913316]",[17.26646117090467]
20,"[35.02012117002471, 31.174071787738303, 42.50308544211126, 54.783101531046164, 51.62060264433994]",[16.122614282752473]
20,"[35.27941786774256, 31.503237630083802, 42.869423421748685, 54.45757324962866, 51.991725068034256]",[16.122614282752473]
20,"[34.85085604209498, 30.97107326991109, 42.952456908970596, 54.46570488357368, 51.78872653157382]",[14.945600464436716]
20,"[36.39788293964639, 31.177032541213187, 42.08897637830627, 54.36247894707986, 52.20379902577465]",[17.26646117090467]
21,"[34.14493529933299, 32.509821231991765, 41.15175251205215, 55.958285570276395, 52.413124714825145]",[20.62053981456744]
21,"[35.873399226983274, 31.965044530402558, 39.338580034693784, 56.719727268336136, 50.94533403737381]",[18.01606113303419]
21,"[37.3247626186392, 31.15643181860577, 41.502599999233425, 54.28790884683505, 52.47262040640384]",[18.4622783932396]
21,"[36.64293892744107, 31.875232078039684, 38.99755860972692, 56.81361412248937, 50.062174574706425]",[18.01606113303419]
21,"[36.668175420969916, 31.302426535778462, 42.82663228767022, 56.437511246985125, 50.862071367913316]",[17.26646117090467]
21,"[35.02012117002471, 31.174071787738303, 42.50308544211126, 54.783101531046164, 51.62060264433994]",[16.122614282752473]
21,"[35.27941786774256, 31.503237630083802, 42.869423421748685, 54.45757324962866, 51.991725068034256]",[16.122614282752473]
21,"[34.85085604209498, 30.97107326991109, 42.952456908970596, 54.46570488357368, 51.78872653157382]",[14.945600464436716]
21,"[36.39788293964639, 31.177032541213187, 42.08897637830627, 54.36247894707986, 52.20379902577465]",[17.26646117090467]
