date,Wind-0.wind_0-wind_gen,PV-0.pv_0-pv_gen,Load-0.load_0-load_dem,Controller-0.ctrl_0-flow2b,Controller-0.ctrl_0-flow2e,Controller-0.ctrl_0-dump,Electrolyser-0.electro_0-h2_gen,Battery-0.Battery_0-p_out,Battery-0.Battery_0-p_in,Battery-0.Battery_0-mod,Battery-0.Battery_0-flag,Battery-0.Battery_0-soc,H2storage-0.h2storage_0-h2_given,H2storage-0.h2storage_0-h2_stored,H2storage-0.h2storage_0-h2_soc,Fuelcell-0.fc_0-fc_gen
2012-06-16 21:45:00,43.117878999999995,0.0,10.368429145986658,-32.749449854013335,0,0,0,-32.749449854013335,-32.749449854013335,-1,0,62.914,0,0,50.173,0.0
2012-06-16 22:00:00,36.678814499999994,0.0,8.8021935660876,-27.876620933912392,0,0,0,-27.876620933912392,-27.876620933912392,-1,0,61.946,0,0,50.173,0.0
2012-06-16 22:15:00,21.7234345,0.0,10.564054774119228,-11.159379725880772,0,0,0,-11.159379725880772,-11.159379725880772,-1,0,61.559,0,0,50.173,0.0
2012-06-16 22:30:00,36.41766525,0.0,7.999951351283424,-28.417713898716574,0,0,0,-28.417713898716574,-28.417713898716574,-1,0,60.572,0,0,50.173,0.0
2012-06-16 22:45:00,69.4266705,0.0,7.020725433250333,-62.405945066749666,0,0,0,-62.405945066749666,-62.405945066749666,-1,0,58.405,0,0,50.173,0.0
2012-06-16 23:00:00,66.7189015,0.0,6.580533596662637,-60.13836790333737,0,0,0,-60.13836790333737,-60.13836790333737,-1,0,56.317,0,0,50.173,0.0
2012-06-16 23:15:00,64.80060725,0.0,4.944052289002731,-59.856554960997265,0,0,0,-59.856554960997265,-59.856554960997265,-1,0,54.239,0,0,50.173,0.0
2012-06-16 23:30:00,69.07933425,0.0,6.090702842254661,-62.988631407745345,0,0,0,-62.988631407745345,-62.988631407745345,-1,0,52.052,0,0,50.173,0.0
2012-06-16 23:45:00,74.538386,0.0,8.977647460881032,-65.56073853911897,0,0,0,-65.56073853911897,-65.56073853911897,-1,0,49.776,0,0,50.173,0.0
2012-06-17,71.53595525,0.0,10.564054774119228,-60.97190047588077,0,0,0,-60.97190047588077,-60.97190047588077,-1,0,47.659,0,0,50.173,0.0
2012-06-17 00:15:00,54.1597015,0.0,7.67730392279016,-46.48239757720984,0,0,0,-46.48239757720984,-46.48239757720984,-1,0,46.045,0,0,50.173,0.0
2012-06-17 00:30:00,46.13056275,0.0,4.2926766827773415,-41.83788606722266,0,0,0,-41.83788606722266,-41.83788606722266,-1,0,44.592,0,0,50.173,0.0
2012-06-17 00:45:00,28.587311,0.0,4.914447264343765,-23.672863735656236,0,0,0,-23.672863735656236,-23.672863735656236,-1,0,43.77,0,0,50.173,0.0
2012-06-17 01:00:00,21.99370725,0.0,6.437999970678665,-15.555707279321336,0,0,0,-15.555707279321336,-15.555707279321336,-1,0,43.23,0,0,50.173,0.0
2012-06-17 01:15:00,19.439586000000002,0.0,4.48444939118488,-14.955136608815122,0,0,0,-14.955136608815122,-14.955136608815122,-1,0,42.711,0,0,50.173,0.0
2012-06-17 01:30:00,20.327004499999997,0.0,3.2332719217533676,-17.09373257824663,0,0,0,-17.09373257824663,-17.09373257824663,-1,0,42.117,0,0,50.173,0.0
2012-06-17 01:45:00,19.86420175,0.0,3.369233201491269,-16.49496854850873,0,0,0,-16.49496854850873,-16.49496854850873,-1,0,41.544,0,0,50.173,0.0
2012-06-17 02:00:00,13.56421575,0.0,8.500676898420279,-5.063538851579722,0,0,0,-5.063538851579722,-5.063538851579722,-1,0,41.368,0,0,50.173,0.0
2012-06-17 02:15:00,21.16843475,0.0,10.127312659904284,-11.041122090095715,0,0,0,-11.041122090095715,-11.041122090095715,-1,0,40.985,0,0,50.173,0.0
