date,Controller1-0.time-based_0-flow2b,Controller1-0.time-based_0-res_load,Controller1-0.time-based_0-dump,Battery1-0.time-based_0-soc,Battery1-0.time-based_0-p_in,Battery1-0.time-based_0-p_out,PV1-0.time-based_0-pv_gen,Wind1-0.time-based_0-wind_gen,Load1-0.time-based_0-load_dem
2012-07-06 11:00:00,-0.0304483387614161,0.0304483387614161,-0.0,20.563,0.5656800000000001,0.5656800000000001,0.384785943599463,0.0885320486391208,0.503766331
8468379,0.553361613,,,,,,,,
2012-07-06 11:15:00,-0.083824,0.1092147224619809,-0.0253907224619809,20.478,-0.0304483387614161,-0.0304483387614161,0.4010405635533353,0.0431063269846837,0.553361613
2012-07-06 11:30:00,0.2570660724372158,-0.2570660724372158,-0.0,20.245,-0.083824,-0.083824,0.413866207323608,0.0654418051136077,0.22224194
26082758,,,,,,,,,
2012-07-06 11:45:00,0.5534159999999999,-2.405238967399208,1.851822967399208,20.823,0.2570660724372158,0.2570660724372158,2.567543614310817,0.0637781110883901,0.226082758
2012-07-06 12:00:00,0.543456,-1.6551795987919364,1.1117235987919365,22.068,0.5534159999999999,0.5534159999999999,1.684954979550198,0.0580225242417382,0.087797905
2012-07-06 12:15:00,0.4317764248892405,-0.4317764248892405,-0.0,23.291,0.543456,0.543456,0.4233606351934255,0.088122178695815,0.079706389
0559436,0.164639305,,,,,,,,
2012-07-06 12:30:00,0.3195898972090367,-0.3195898972090367,-0.0,24.262,0.4317764248892405,0.4317764248892405,0.4361132107034424,0.0481159915055943,0.164639305
636,0.786293094,,,,,,,,
2012-07-06 12:45:00,-0.119848,0.311521607644984,-0.191673607644984,24.981,0.3195898972090367,0.3195898972090367,0.4358416139545996,0.0389298724004163,0.786293094
2012-07-06 13:00:00,0.26522645386025,-0.26522645386025,-0.0,24.648,-0.119848,-0.119848,0.4131515743124482,0.0574052685478018,0.205330389
2012-07-06 13:15:00,0.290033553979733,-0.290033553979733,-0.0,25.245,0.26522645386025,0.26522645386025,0.4095872341674232,0.0667934008123097,0.186347081
2012-07-06 13:30:00,0.2606296416654692,-0.2606296416654692,-0.0,25.898,0.290033553979733,0.290033553979733,0.386710904138163,0.0860917945273062,0.212173057
734,,,,,,,,,
2012-07-06 13:45:00,0.508128,-1.0457166717423716,0.5375886717423716,26.484,0.2606296416654692,0.2606296416654692,1.2271463363227575,0.0821250694196138,0.263554734
2012-07-06 14:00:00,0.498984,-2.037096935920497,1.538112935920497,27.627,0.508128,0.508128,2.65684154641586,0.0558813155046371,0.675625926
39053223887,0.373002474,,,,,,,,
2012-07-06 14:15:00,0.49,-0.8254166534919858,0.3354166534919857,28.75,0.498984,0.498984,1.084851736959747,0.1135673905322388,0.373002474
2012-07-06 14:30:00,0.2647139944086261,-0.2647139944086261,-0.0,29.852,0.49,0.49,0.3502988603054647,0.1357075951031613,0.221292461
2012-07-06 14:45:00,0.3108413523356786,-0.3108413523356786,-0.0,30.448,0.2647139944086261,0.2647139944086261,0.3626888446205057,0.1346190367151729,0.186466529
991,,,,,,,,,
2012-07-06 15:00:00,0.470824,-2.2401841129603586,1.7693601129603589,31.147,0.3108413523356786,0.3108413523356786,2.3478033023166334,0.1174888016437251,0.225107991
2012-07-06 15:15:00,0.2793392205331069,-0.2793392205331069,-0.0,32.206,0.470824,0.470824,0.3103746967228041,0.2043083028103028,0.235343779
420752,0.235613596,,,,,,,,
